!MOLECULE
CO
!MOLECULAR WEIGHT
28.0
!NUMBER OF ENERGY LEVELS
10
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
   33     9     5  1.2e-11 1.1e-11 1.1e-11 1.1e-11 1.1e-11 1.1e-11 1.2e-11 1.3e-11 1.3e-11 1.5e-11 1.7e-11 2.1e-11 2.3e-11 2.9e-11
   34     9     6  2.7e-11 2.7e-11 2.9e-11 3.1e-11 3.3e-11 3.5e-11 3.9e-11 4.3e-11 4.8e-11 5.4e-11 5.9e-11 6.7e-11 7.1e-11 8.2e-11
   35     9     7  1.0e-10 9.5e-11 9.2e-11 8.8e-11 8.3e-11 7.9e-11 7.6e-11 7.6e-11 7.5e-11 7.9e-11 8.2e-11 9.7e-11 1.0e-10 1.2e-10
   36     9     8  4.5e-11 5.9e-11 7.3e-11 7.7e-11 7.9e-11 8.0e-11 8.3e-11 8.3e-11 8.7e-11 9.1e-11 9.5e-11 9.4e-11 9.3e-11 9.2e-11
   37    10     1  7.4e-15 8.6e-15 1.1e-14 1.3e-14 2.2e-14 3.9e-14 8.2e-14 2.0e-13 3.6e-13 7.5e-13 1.1e-12 1.8e-12 2.1e-12 3.4e-12
   38    10     2  7.8e-14 7.9e-14 8.8e-14 1.0e-13 1.4e-13 1.9e-13 2.9e-13 5.2e-13 7.8e-13 1.3e-12 1.8e-12 2.4e-12 2.8e-12 4.0e-12
   39    10     3  2.3e-13 2.6e-13 3.2e-13 3.9e-13 5.8e-13 8.4e-13 1.4e-12 2.4e-12 3.7e-12 6.2e-12 8.5e-12 1.2e-11 1.4e-11 2.0e-11
   40    10     4  1.1e-12 1.1e-12 1.1e-12 1.2e-12 1.4e-12 1.7e-12 2.1e-12 2.7e-12 3.3e-12 4.4e-12 5.4e-12 6.6e-12 7.2e-12 9.2e-12
   41    10     5  5.3e-12 5.2e-12 5.6e-12 6.1e-12 7.2e-12 8.5e-12 1.1e-11 1.4e-11 1.7e-11 2.3e-11 2.7e-11 3.4e-11 3.8e-11 5.0e-11
   42    10     6  1.3e-11 1.3e-11 1.2e-11 1.2e-11 1.2e-11 1.3e-11 1.3e-11 1.3e-11 1.4e-11 1.6e-11 1.8e-11 2.2e-11 2.4e-11 3.0e-11
   43    10     7  3.2e-11 3.2e-11 3.4e-11 3.5e-11 3.7e-11 3.9e-11 4.2e-11 4.7e-11 5.1e-11 5.6e-11 6.1e-11 6.9e-11 7.4e-11 8.5e-11
   44    10     8  9.2e-11 9.4e-11 9.4e-11 9.1e-11 8.6e-11 8.3e-11 8.0e-11 7.7e-11 7.8e-11 8.1e-11 8.4e-11 9.9e-11 1.1e-10 1.3e-10
   45    10     9  5.3e-11 6.1e-11 7.2e-11 7.6e-11 7.9e-11 7.9e-11 8.1e-11 8.5e-11 8.6e-11 9.1e-11 9.5e-11 9.4e-11 9.4e-11 9.2e-11
