4.7863009232e-003 -0.021359% 7.9310830925e-008 1.5858778875e-007 -3.3873099064e-011 2.9141243214e-002 -0.046144% 1.4791647851e-007 2.9569651096e-007 -1.3644606509e-010 9.4186905770e-001 7.8325776712e-001 7.8325776705e-001 5.4167152828e-001 5.4167152825e-001 5.4167152815e-001 1 1 4
5.2480746025e-003 -0.023415% 8.6947061063e-008 1.7385341384e-007 -4.0708282686e-011 3.1952737789e-002 -0.050559% 1.6205614847e-007 3.2394851241e-007 -1.6378452977e-010 9.4186905767e-001 7.8325776710e-001 7.8325776702e-001 5.4167152831e-001 5.4167152827e-001 5.4167152817e-001 0 1 4
5.7543993734e-003 -0.025669% 9.5316883830e-008 1.9058484678e-007 -4.8920883395e-011 3.5035480288e-002 -0.055392% 1.7753365666e-007 3.5487074219e-007 -1.9657114317e-010 9.4186905763e-001 7.8325776708e-001 7.8325776699e-001 5.4167152834e-001 5.4167152830e-001 5.4167152818e-001 0 1 4
6.3095734448e-003 -0.028139% 1.0449043926e-007 2.0892209055e-007 -5.8787978133e-011 3.8415640222e-002 -0.060683% 1.9447280351e-007 3.8870972581e-007 -2.3588120942e-010 9.4186905759e-001 7.8325776705e-001 7.8325776696e-001 5.4167152837e-001 5.4167152833e-001 5.4167152820e-001 2 1 4
6.9183097092e-003 -0.030846% 1.1454451077e-007 2.2901837929e-007 -7.0642250763e-011 4.2121911888e-002 -0.066474% 2.1300828696e-007 4.2573357356e-007 -2.8300035003e-010 9.4186905755e-001 7.8325776703e-001 7.8325776693e-001 5.4167152841e-001 5.4167152836e-001 5.4167152822e-001 2 1 4
7.5857757503e-003 -0.033812% 1.2556313297e-007 2.5104138395e-007 -8.4881989791e-011 4.6185757958e-002 -0.072810% 2.3328654214e-007 4.6623361991e-007 -3.3946437335e-010 9.4186905750e-001 7.8325776700e-001 7.8325776689e-001 5.4167152845e-001 5.4167152839e-001 5.4167152824e-001 1 1 4
8.3176377110e-003 -0.037062% 1.3763826473e-007 2.7517454303e-007 -1.0198643074e-010 5.0641676564e-002 -0.079742% 2.5546663272e-007 5.1052616122e-007 -4.0710421817e-010 9.4186905745e-001 7.8325776697e-001 7.8325776685e-001 5.4167152849e-001 5.4167152843e-001 5.4167152826e-001 2 1 4
9.1201083936e-003 -0.040625% 1.5087051559e-007 3.0161849967e-007 -1.2253150431e-010 5.5527494158e-002 -0.087325% 2.7972117238e-007 5.5895423851e-007 -4.8810625124e-010 9.4186905739e-001 7.8325776694e-001 7.8325776681e-001 5.4167152854e-001 5.4167152847e-001 5.4167152829e-001 2 1 4
1.0000000000e-002 -0.044527% 1.6536993882e-007 3.3059267360e-007 -1.4720403500e-010 6.0884686618e-002 -0.095617% 3.0623727995e-007 6.1188948990e-007 -5.8507000457e-010 9.4186905733e-001 7.8325776690e-001 7.8325776676e-001 5.4167152859e-001 5.4167152852e-001 5.4167152831e-001 2 1 4
1.0964781961e-002 -0.048803% 1.8125688180e-007 3.6233693187e-007 -1.7683173773e-010 6.6758731340e-002 -0.104682% 3.3521756226e-007 6.6973403232e-007 -7.0109219694e-010 9.4186905726e-001 7.8325776686e-001 7.8325776670e-001 5.4167152864e-001 5.4167152857e-001 5.4167152834e-001 1 1 4
